Addr ;Default ;Name          ;Description                                                                                 ;R/W  ;S/R
0x28 ;0xE2    ;WAKEUP1       ;Wakeup register 1                                                                           ;RW   ;PD-S
0x29 ;0x01    ;WAKEUP2       ;Wakeup register 2                                                                           ;RW   ;PD-S
0x2A ;0xE3    ;WAKEUP3       ;Wakeup register 3                                                                           ;RW   ;PD-S
0x2B ;0x80    ;WAKEUP4       ;Wakeup register 4                                                                           ;RW   ;PD-S
0x2C ;0x48    ;RX_AFE1       ;RX AFE register 1                                                                           ;RW   ;PD-S
0x2D ;0x8B    ;RX_AFE2       ;RX AFE register 2                                                                           ;RW   ;PD-S
0x2E ;0x08    ;TX_AFE1       ;TX AFE register 1                                                                           ;RW   ;PD-S
0x2F ;0xC0    ;TX_AFE2       ;TX AFE register 2                                                                           ;RW   ;PD-S
0x30 ;0x00    ;RFU           ;Reserved for future use.                                                                    ;-    ;-  
0x31 ;0x00    ;RFU           ;Reserved for future use.                                                                    ;-    ;-  
0x32 ;0x00    ;RFU           ;Reserved for future use.                                                                    ;-    ;-  
0x33 ;0x00    ;PWKU_CTRL     ;Periodic Wakeup Control Register                                                            ;RW   ;PD-S
0x34 ;0x46    ;PWKU_T2       ;Periodic Wakeup T2 parameter Register                                                       ;RW   ;PD-S
0x35 ;0x45    ;PWKU_T3T4     ;Periodic Wakeup T3/T4 parameter Register                                                    ;RW   ;PD-S
0x36 ;0x31    ;PWKU_CNT      ;Periodic Wakeup CNT1/CNT2 Register                                                          ;RW   ;PD-S 
0x37 ;0x12    ;PWKU_RSSI_CFG ;Periodic Wakeup RSSI Configure Register                                                     ;RW   ;PD-S
0x38 ;0x00    ;PWKU_RSS_MAX  ;Periodic Wakeup RSSI Max Value Register                                                     ;RW   ;PD-S
0x39 ;0x00    ;PWKU_STA      ;Periodic Wakeup Status Register                                                             ;RW   ;PD-S
0x3A ;0x00    ;PWKU_TEST     ;For debug only                                                                              ;RW   ;PD-S
0x3B ;0x00    ;RFU           ;Reserved for future use.                                                                    ;-    ;-  
0x3C ;0x66    ;CHIP_ID3      ;Main Product Label, high byte                                                               ;RO   ;PD-R
0x3D ;0x05    ;CHIP_ID2 Main ;Product Label, low byte                                                                     ;RO   ;PD-R
0x3E ;0x00    ;CHIP_ID1 Main ;Design Version                                                                              ;RO   ;PD-R
0x3F ;0x02    ;CHIP_ID0 Sub D;esign Version                                                                               ;RO   ;PD-R
